105
1800
1800
1898 6060  45 30
440 9843  0 20
22507 6466  85 125
270 12023  150 5
14148 2520  65 80
3100 13341  95 25
4650 6484  30 35
30800 19649  0 73
615 982  170 12
4975 3590  0 15
1160 9143  40 15
4225 13195  25 40
510 8839  20 5
11880 17750  0 10
479 20465  0 10
440 14612  25 12
490 11004  0 10
330 1105  0 9
110 15653  25 0
560 32234  0 20
24355 3298  165 60
2885 2263  0 40
11748 9289  85 50
4550 22590  0 36
750 5346  0 49
3720 12302  0 40
1950 12554  0 19
10500 4452  100 150
1898 43544  45 30
440 24600  0 20
22507 15945  85 125
270 10683  150 5
14148 1120  65 80
3100 214  95 25
4650 31522  30 35
30800 4039  0 73
615 4330  170 12
4975 9449  0 15
1160 6310  40 15
4225 15502  25 40
510 4213  20 5
11880 6712  0 10
479 36629  0 10
440 5881  25 12
490 12054  0 10
330 20629  0 9
110 9123  25 0
560 1912  0 20
24355 35574  165 60
2885 7956  0 40
11748 4791  85 50
4550 13479  0 36
750 35816  0 49
3720 2607  0 40
1950 7398  0 19
10500 6929  100 150
1898 4914  45 30
440 8286  0 20
22507 2590  85 125
270 5603  150 5
14148 12395  65 80
3100 9573  95 25
4650 2831  30 35
30800 16420  0 73
615 16637  170 12
4975 556  0 15
1160 7308  40 15
4225 2864  25 40
510 16507  20 5
11880 23971  0 10
479 21806  0 10
440 1876  25 12
490 1747  0 10
330 27346  0 9
110 13117  25 0
560 15195  0 20
24355 14787  165 60
2885 7080  0 40
11748 1830  85 50
4550 21707  0 36
750 23305  0 49
3720 5139  0 40
1950 8659  0 19
10500 4535  100 150
1898 8027  45 30
440 1989  0 20
22507 1487  85 125
270 32257  150 5
14148 26365  65 80
3100 1937  95 25
4650 32682  30 35
30800 1773  0 73
615 15165  170 12
4975 5199  0 15
1160 288  40 15
4225 20151  25 40
510 35748  20 5
11880 938  0 10
479 5985  0 10
440 34112  25 12
490 11929  0 10
330 10456  0 9
110 18698  25 0
560 15115  0 20
24355 10181  165 60
