28
1025
1025
42   156 102   17
60   129 146   11
12   203 29   34
60   123 146   67
13   203 14   149
24   190 59   66
64   124 72   132
13   190 14   33
36   157 88   78
13   196 14   50
42   145 102   149
38   150 43   116
38   167 43   11
26   178 29   78
13   194 14   83
90   74 101   116
42   150 102   45
42   159 102   99
48   141 117   165
128   9 145   34
30   176 73   34
30   175 73   33
13   199 14   83
77   98 87   132
36   157 88   78
38   157 43   116
24   175 59   11
64   110 72   99
