105
1800
1800
41850  56456 75 0
38261 68393  40 0
23800 76103  365 0
21697 81328  95 0
7074 89297  25 0
5587 94460  17 0
5560 90143  125 0
5500 96480  20 0
3450 96685  22 0
2391 94438  84 0
761 102913  75 0
460 97545  50 0
367 103489  15 0
24785 77746  0 5
47910 50996  0 10
30250 71403  12 10
107200 1486  0 50
4235 93167  10 2
9835 91348  0 5
9262 88923  50 5
15000 84809  0 10
6399 94838  0 5
6155 93960  10 6
10874 85122  0 11
37100 60952  0 41
27040 75418  50 30
4117 94500  60 5
32240 68234  150 40
1600 94474  0 2
4500 93122  0 6
70610 30940  75 100
6570 98566  0 10
15290 83825  102 25
23840 78415  0 39
16500 80249  0 30
7010 94335  40 13
16020 81441  60 30
8000 90927  0 15
31026 74917  165 60
2568 94951  0 5
2365 100956  0 5
4350 98911  0 10
1972 97708  45 5
4975 92159  0 15
29400 77533  0 91
7471 89480  0 24
2700 93251  25 10
3840 92451  0 15
22400 77848  150 90
3575 93079  0 15
13500 88836  0 60
1125 95439  0 5
11950 92803  158 55
12753 87985  0 60
10568 94011  85 50
15600 83215  95 75
20652 83289  0 100
13150 85371  89 65
2900 95568  20 15
1790 97473  0 10
4970 94895  0 30
5770 93168  0 35
8180 94200  0 50
2450 98091  0 15
7140 97638  0 45
12470 84673  80 80
6010 94002  0 40
16000 88925  110 110
11100 93707  0 80
11093 92975  15 80
4685 98309  0 36
2590 95609  60 20
11500 93428  5 90
5820 98161  135 50
2842 98040  0 25
5000 93552  0 50
3300 93470  25 35
2800 100295  0 30
5420 96443  300 60
900 101349  35 10
13300 84383  100 150
8450 89744  0 110
5300 95726  0 70
750 94967  25 10
1435 100092  0 20
2100 99841  0 30
7215 93432  225 104
2605 100946  25 40
2422 101021  0 40
5500 98657  0 94
8550 92056  0 150
2700 93888  0 50
540 103272  0 10
2550 96562  0 50
2450 94822  0 50
725 100423  5 16
445 100736  0 10
700 101963  60 20
1720 102188  0 50
2675 101316  100 90
220 103021  0 10
300 96086  0 15
405 95748  0 39
150 103891  0 20
70 95602  0 20
